Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,3891.500000,3944.550049,3882.000000,3922.149902,3919.723633,125215
2022-12-30,3947.000000,3970.000000,3880.000000,3904.600098,3902.184570,109316
2023-01-02,3927.000000,3960.000000,3889.550049,3897.300049,3894.888916,90036
2023-01-03,3894.000000,3929.000000,3876.000000,3922.149902,3919.723633,87251
2023-01-04,3920.000000,3938.399902,3855.600098,3864.050049,3861.659668,122473
2023-01-05,3877.000000,3897.800049,3791.100098,3838.600098,3836.225342,95221
2023-01-06,3830.000000,3843.550049,3785.050049,3817.449951,3815.088379,90644
2023-01-09,3836.550049,3853.000000,3765.000000,3774.050049,3771.715332,145564
2023-01-10,3792.899902,3808.000000,3705.500000,3731.149902,3728.841797,121358
2023-01-11,3748.000000,3758.500000,3697.600098,3705.300049,3703.007813,92859
2023-01-12,3720.000000,3722.649902,3634.350098,3651.050049,3648.791260,169937
2023-01-13,3659.949951,3671.000000,3603.050049,3626.550049,3624.306641,134883
2023-01-16,3644.699951,3658.000000,3541.000000,3547.649902,3545.455078,145572
2023-01-17,3547.649902,3582.899902,3512.500000,3564.050049,3561.845215,131767
2023-01-18,3581.850098,3588.800049,3505.000000,3516.750000,3514.574463,203661
2023-01-19,3500.000000,3557.050049,3451.100098,3545.250000,3543.056885,204072
2023-01-20,3545.000000,3574.250000,3498.100098,3516.000000,3513.824951,134510
2023-01-23,3533.600098,3533.600098,3425.000000,3495.050049,3492.887939,197301
2023-01-24,3495.050049,3568.949951,3460.000000,3477.000000,3474.849121,250604
2023-01-25,3477.000000,3483.949951,3355.000000,3363.800049,3361.718994,228522
2023-01-27,3135.000000,3189.949951,2631.000000,2721.800049,2720.116211,4960069
2023-01-30,2740.000000,2745.850098,2553.000000,2679.800049,2678.142334,1388999
2023-01-31,2694.000000,2799.949951,2635.000000,2681.550049,2679.891113,1126760
2023-02-01,2724.000000,2860.000000,2716.050049,2806.600098,2804.863770,1641717
2023-02-02,2800.000000,2859.800049,2741.149902,2765.550049,2763.839111,610067
2023-02-03,2770.949951,2833.850098,2668.050049,2755.449951,2753.745361,413917
2023-02-06,2759.800049,2815.000000,2742.149902,2783.550049,2781.828125,227943
2023-02-07,2797.500000,2797.500000,2691.100098,2706.750000,2705.075439,567714
2023-02-08,2737.050049,2737.050049,2675.399902,2703.949951,2702.277100,342203
2023-02-09,2700.000000,2734.350098,2641.050049,2690.449951,2688.785645,394355
2023-02-10,2699.949951,2745.000000,2661.600098,2704.550049,2702.876953,306637
2023-02-13,2717.000000,2728.649902,2622.050049,2665.500000,2663.851074,315713
2023-02-14,2674.000000,2710.000000,2631.199951,2688.300049,2686.636963,336631
2023-02-15,2685.000000,2718.500000,2651.199951,2701.550049,2699.878662,226606
2023-02-16,2715.100098,2770.000000,2690.000000,2726.250000,2724.563477,598235
2023-02-17,2720.000000,2759.699951,2696.000000,2736.300049,2734.607178,243108
2023-02-20,2732.350098,2750.050049,2695.000000,2705.649902,2703.976074,193404
2023-02-21,2712.000000,2735.300049,2695.000000,2722.600098,2720.915771,191374
2023-02-22,2711.000000,2711.050049,2636.199951,2644.199951,2642.564209,270867
2023-02-23,2644.000000,2706.000000,2581.199951,2688.149902,2686.486816,436346
2023-02-24,2705.000000,2809.399902,2684.050049,2796.949951,2795.219727,539202
2023-02-27,2800.000000,2800.050049,2705.949951,2778.850098,2777.131104,300700
2023-02-28,2779.000000,2904.000000,2760.199951,2890.649902,2888.861572,708324
2023-03-01,2892.000000,2994.250000,2879.899902,2929.899902,2928.087402,734196
2023-03-02,2924.850098,2989.800049,2919.300049,2949.550049,2947.725342,505745
2023-03-03,2969.250000,2993.750000,2935.000000,2977.850098,2976.007813,286611
2023-03-06,2995.000000,3052.800049,2971.000000,2988.100098,2986.251465,275545
2023-03-08,2975.000000,2980.050049,2907.850098,2917.149902,2915.345215,166197
2023-03-09,2919.149902,2937.800049,2816.000000,2821.649902,2819.904297,252164
2023-03-10,2822.000000,2895.000000,2790.449951,2886.899902,2885.114014,478656
2023-03-13,2880.000000,2934.000000,2826.000000,2885.649902,2883.864746,483555
2023-03-14,2900.449951,2900.449951,2811.250000,2853.000000,2851.235107,221530
2023-03-15,2875.000000,2878.250000,2807.000000,2828.250000,2826.500244,222399
2023-03-16,2842.399902,2900.000000,2830.800049,2868.050049,2866.275879,231087
2023-03-17,2882.399902,2907.649902,2852.250000,2886.800049,2885.014160,158129
2023-03-20,2835.899902,2934.100098,2835.899902,2912.750000,2910.947998,199520
2023-03-21,2912.100098,2948.050049,2895.000000,2900.050049,2898.255859,182196
